
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"
# Contour 0, label:       10
-41.7053 -26.5766  8 
-41.7089 -26.4765  8 
-41.7126 -26.3764  8 
-41.7162 -26.2763  8 
-41.7199 -26.1762  8 
-41.7235 -26.0761  8 
-41.7272 -25.976  8 
-41.7308 -25.8759  8 
-41.7345 -25.7758  8 
-41.7381 -25.6757  8 
-41.7418 -25.5756  8 
-41.7454 -25.4755  8 
-41.7491 -25.3754  8 
-41.7527 -25.2753  8 
-41.7564 -25.1752  8 
-41.76 -25.0751  8 
-41.7637 -24.975  8 
-41.7673 -24.8749  8 
-41.771 -24.7748  8 
-41.7746 -24.6747  8 
-41.7783 -24.5746  8 
-41.7819 -24.4745  8 
-41.7856 -24.3744  8 
-41.7892 -24.2743  8 
-41.7929 -24.1742  8 
-41.7965 -24.0741  8 
-41.8002 -23.974  8 
-41.8038 -23.8739  8 
-41.8075 -23.7738  8 
-41.8111 -23.6737  8 
-41.8147 -23.5736  8 
-41.8184 -23.4735  8 
-41.822 -23.3734  8 
-41.8256 -23.2733  8 
-41.8293 -23.1732  8 
-41.8329 -23.0731  8 
-41.8365 -22.973  8 
-41.8401 -22.8729  8 
-41.8437 -22.7728  8 
-41.8474 -22.6727  8 
-41.851 -22.5726  8 
-41.8546 -22.4725  8 
-41.8582 -22.3724  8 
-41.8618 -22.2723  8 
-41.8654 -22.1722  8 
-41.869 -22.0721  8 
-41.8726 -21.972  8 
-41.8762 -21.8719  8 
-41.8798 -21.7718  8 
-41.8834 -21.6717  8 
-41.8869 -21.5716  8 
-41.8905 -21.4715  8 
-41.8941 -21.3714  8 
-41.8976 -21.2713  8 
-41.9012 -21.1712  8 
-41.9048 -21.0711  8 
-41.9083 -20.971  8 
-41.9119 -20.8709  8 
-41.9154 -20.7708  8 
-41.9189 -20.6707  8 
-41.9192 -20.6638  8 

-41.2436 -40.1902  8 
-41.2466 -40.0901  8 
-41.2496 -39.99  8 
-41.2527 -39.8899  8 
-41.2557 -39.7898  8 
-41.2587 -39.6897  8 
-41.2618 -39.5896  8 
-41.2649 -39.4895  8 
-41.2679 -39.3894  8 
-41.271 -39.2893  8 
-41.2741 -39.1892  8 
-41.2772 -39.0891  8 
-41.2802 -38.989  8 
-41.2833 -38.8889  8 
-41.2864 -38.7888  8 
-41.2896 -38.6887  8 
-41.2927 -38.5886  8 
-41.2958 -38.4885  8 
-41.2989 -38.3884  8 
-41.3021 -38.2883  8 
-41.3052 -38.1882  8 
-41.3084 -38.0881  8 
-41.3115 -37.988  8 
-41.3147 -37.8879  8 
-41.3178 -37.7878  8 
-41.321 -37.6877  8 
-41.3242 -37.5876  8 
-41.3274 -37.4875  8 
-41.3306 -37.3874  8 
-41.3338 -37.2873  8 
-41.337 -37.1872  8 
-41.3402 -37.0871  8 
-41.3434 -36.987  8 
-41.3466 -36.8869  8 
-41.3499 -36.7868  8 
-41.3531 -36.6867  8 
-41.3563 -36.5866  8 
-41.3596 -36.4865  8 
-41.3628 -36.3864  8 
-41.3661 -36.2863  8 
-41.3694 -36.1862  8 
-41.3726 -36.0861  8 
-41.3759 -35.986  8 
-41.3792 -35.8859  8 
-41.3825 -35.7858  8 
-41.3858 -35.6857  8 
-41.3891 -35.5856  8 
-41.3924 -35.4855  8 
-41.3957 -35.3854  8 
-41.399 -35.2853  8 
-41.4024 -35.1852  8 
-41.4057 -35.0851  8 
-41.409 -34.985  8 
-41.4124 -34.8849  8 
-41.4157 -34.7848  8 
